Date,Open,High,Low,Close,Volume,macd_diff,macd_macd,macd_signal,sma_fast_ps,sma_slow_ps,position,macd_inv_sign,sma_conf,sma_inv_sign,macd_diff_conf,sl_flag_short,tp_flag_short,sl_flag_long,tp_flag_long,Complete,emg_pos,trades,log_returns_hold,multiple_hold_acum,macd_log_returns,macd_log_returns_net,macd_multiple_acum,macd_multiple_net_acum,ses,macd_simplecret_net_ses,macd_simple_ret,eff_lev,macd_simple_ret_net_lev,macd_simple_ret_net_lev_acum
2022-12-14-08:25,17803.1,17804.7,17798.5,17798.5,472.496,-1.4352648030864792,5.021592856595817,6.456857659682296,17799.253333333334,,0.0,0.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,-0.00030896706937725513,1.001925209549489,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:30,17797.3,17831.1,17796.8,17827.7,500.917,3.082341599899509,11.08037005953156,7.998028459632051,17801.359999999997,,0.0,1.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.0016392433960768127,1.0035689557145504,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:35,17829.5,17882.6,17826.1,17829.9,1266.845,4.6059292527638345,14.906922338777804,10.30099308601397,17803.666666666668,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00012339585405583784,1.0036927996036988,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:40,17831.8,17835.9,17824.1,17831.9,542.634,4.611308834473952,17.2179563377249,12.606647503250947,17805.673333333336,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00011216483756263025,1.0038053849574702,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:45,17832.6,17835.9,17828.6,17835.9,503.814,4.274030009062882,19.017692516845273,14.74366250778239,17808.706666666665,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00022429193932728782,1.0040305556650129,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:50,17831.2,17837.5,17828.6,17832.2,373.047,2.5832643422619483,18.618559021175315,16.035294678913367,17811.113333333335,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,-0.00020746829874722643,1.0038222727605357,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:55,17832.2,17843.9,17829.5,17841.1,510.791,2.580332938462945,19.905794086607784,17.32546114814484,17813.98,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.0004989726313322404,1.004323277584818,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:00,17841.1,17841.1,17830.0,17833.2,565.619,0.5625853908625515,18.169339234438667,17.606753843576115,17816.306666666664,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,-0.0004428958734514917,1.0038785654374214,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:05,17833.2,17844.3,17829.5,17842.2,417.911,0.7208350981274521,18.688006490767293,17.96717139263984,17818.960000000003,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.0005045493640394384,1.0043851995293922,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:10,17840.9,17844.1,17836.0,17837.1,350.688,-0.515915831313162,17.1932976456701,17.709213476983262,17821.059999999998,,0.0,-1.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,-0.00028588005004225015,1.0040981068772752,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:15,17840.8,17840.8,17828.6,17830.7,484.88,-2.3247431616707175,14.222098734477186,16.546841896147903,17822.733333333334,17790.553333333333,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0003588671052704626,1.0037378337452072,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:20,17834.2,17834.2,17801.2,17803.0,396.805,-7.442418786026305,5.383213717108447,12.825632503134752,17823.033333333333,17791.19833333333,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0015547083563881839,1.0021785265954741,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:25,17801.2,17833.1,17800.1,17825.5,647.535,-5.058375043531649,5.238069937837281,10.29644498136893,17824.626666666667,17792.173333333332,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,0.0012630339751098895,1.0034451118254015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:30,17820.6,17825.5,17798.3,17800.9,665.625,-7.446235251115152,-0.872907895303797,6.573327355811355,17824.92,17792.78666666667,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0013809985802478025,1.0020603119740144,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:35,17801.7,17803.5,17796.5,17799.1,463.926,-7.68872129829873,-4.959754591636738,2.728966706661992,17824.593333333334,17793.405000000002,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,-0.00010112359559194808,1.0019589851556199,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:40,17799.1,17801.9,17786.6,17800.6,478.445,-6.426138699154421,-6.910241342069639,-0.48410264291521843,17824.733333333334,17794.065000000002,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,8.427037311473916e-05,1.0020434241709484,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:45,17801.0,17803.3,17787.1,17791.1,620.306,-6.430103194488538,-10.129257434648025,-3.6991542401594875,17822.293333333335,17794.566666666666,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,-0.000533832338753536,1.0015086437405345,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:50,17791.1,17802.8,17791.1,17800.1,535.711,-3.938207385197984,-9.606465317956463,-5.668257932758479,17820.306666666664,17794.956666666665,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,0.0005057430034296252,1.0020152778325055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-09:55,17796.8,17814.0,17795.3,17812.2,554.966,-0.29130194917919017,-6.105210856527265,-5.8139089073480745,17818.993333333336,17795.626666666663,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,0.0006795405219896167,1.0026964192228223,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-10:00,17812.2,17820.5,17793.9,17793.9,678.115,-1.5618405455099689,-8.156669725613028,-6.594829180103059,17816.193333333333,17796.006666666668,0.0,0.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0010279138468590782,1.0016662632358146,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-10:05,17793.9,17827.1,17793.9,17827.1,554.709,3.576316910672042,-1.2303538140949968,-4.806670724767039,17815.853333333333,17796.864999999998,1.0,1.0,1.0,0.0,1.0,False,False,False,False,True,False,1,0.001864069487857379,1.0035351801084185,0.0,-0.0004100800713399792,1.0,0.9995900040000001,0.0,-0.00040999599999991254,-0.00040999599999991254,20.15708657736745,-0.00819991999999825,0.9918000800000017
2022-12-14-10:10,17822.3,17822.3,17813.4,17815.5,534.345,3.354165900935097,0.22457812663560617,-3.1295877742994906,17814.146666666667,17797.44833333333,1.0,0.0,1.0,0.0,1.0,False,False,False,False,True,False,0,-0.0006509065225070254,1.0028821850565448,-0.0006509065225070254,-0.0006509065225070254,0.9993493052711884,0.9989395760534245,1.0,-0.0006506947288116294,-0.0006506947288116294,20.250524293695356,-0.013116109984092648,0.9787915210684899
2022-12-14-10:15,17815.5,17828.8,17812.4,17828.8,312.222,4.927520732839126,4.261693324959197,-0.6658274078799287,17813.853333333333,17798.45,1.0,0.0,1.0,0.0,1.0,False,False,False,False,True,False,0,0.0007462624103847954,1.003630877659124,0.0007462624103847954,0.0007462624103847954,1.000095360434395,0.9996853253369984,1.0,9.536043439495323e-05,0.0007465409334568296,19.963832014825467,0.015117845309205536,0.9935887398739653
2022-12-14-10:20,17826.2,17832.1,17819.6,17822.7,839.013,3.849955524393066,5.10910587870967,1.259150354316604,17812.553333333333,17799.33,1.0,0.0,1.0,0.0,1.0,False,False,False,False,True,False,0,-0.00034220159373522243,1.0032874923301216,-0.00034220159373522243,-0.00034220159373522243,0.9997531847580371,0.9993432899512992,1.0,-0.0002468152419629055,-0.0003421430494480182,20.094255063672836,-0.006830486364220359,0.9868020455346134
2022-12-14-10:25,17820.4,17898.0,17820.4,17830.8,735.945,4.0849805642541615,7.386621200697846,3.3016406364436848,17812.133333333335,17800.166666666668,1.0,0.0,1.0,0.0,1.0,False,False,False,False,True,False,0,0.0004543733512478534,1.0037434630128956,0.0004543733512478534,0.0004543733512478534,1.0002075491807418,0.9997974680864081,1.0,0.00020754918074183948,0.0004544765944554108,19.921457340610292,0.009132368609456425,0.9958138855590011
2022-12-14-10:30,17832.7,17863.0,17821.0,17829.4,648.17,3.260593813567791,8.19253135679537,4.93193754322758,17812.046666666665,17801.404999999995,1.0,0.0,1.0,0.0,1.0,False,False,False,False,True,False,0,-7.851890907602704e-05,1.0036646532652558,-7.851890907602704e-05,-7.851890907602704e-05,1.0001290170582993,0.9997189681618215,1.0,0.00012901705829926335,-7.851582654716527e-05,19.951099697310337,-0.00156414968912211,0.9942562835794805
2022-12-14-10:35,17827.8,17829.2,17822.4,17825.8,717.883,1.7529834229937338,7.561412677718181,5.808429254724447,17813.566666666666,17802.58,1.0,0.0,1.0,0.0,1.0,False,False,False,False,True,False,0,-0.00020193408042782927,1.0034619996284673,-0.00020193408042782927,-0.00020193408042782927,0.9999270773148748,0.9995171112128841,1.0,-7.29226851251541e-05,-0.00020191369311373109,20.0277510940334,-0.004028400221564172,0.9902510213464174
2022-12-14-10:40,17823.8,17825.8,17816.8,17816.8,655.454,-0.6737288837222977,4.7978359291410015,5.471564812863299,17812.986666666668,17803.263333333332,1.0,-1.0,1.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0005050136741583736,1.0029553655364964,-0.0005050136741583736,-0.0005050136741583736,0.999422227956314,0.999012468840541,1.0,-0.0005777720436860312,-0.000504886176216468,20.222120071959083,-0.010111734668081707,0.9802378657637656
